"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"429",12063,3.83877159309021,0,30.929,0.4983,0.9204,0.8972,6.24,"Guerrero",3
"430",12064,40.1227283455275,0,28.195,0.1108,0.4659,0.7613,7.39,"Guerrero",11
"431",12065,38.027799632835,0,22.932,0.2713,0.7786,0.8635,5.52,"Guerrero",5
"432",12066,46.807873982089,0.77,91.2,0.3136,0.7177,0.8487,7.34,"Guerrero",137
"433",12067,54.6111160045803,0,83.273,0.2713,0.6855,0.8034,4.79,"Guerrero",40
"434",12068,42.6431326016019,0.53,23.073,0.1022,0.435,0.6944,6.7,"Guerrero",13
"435",12069,8.15993472052224,0,30.401,0.5,0.9321,0.881,8.96,"Guerrero",3
"436",12070,43.2549337658827,0,41.033,0.1932,0.7465,0.8508,3.47,"Guerrero",9
"437",12071,29.4487459466614,0,93.089,0.4133,0.8748,0.8704,10.7,"Guerrero",19
"438",12072,6.35576388337173,0,14.623,0.521,0.9137,0.9191,8.19,"Guerrero",4
"439",12073,69.6730305025236,0,7.283,0.2482,0.715,0.8467,16.77,"Guerrero",12
"440",12074,18.0134891709606,0,71.308,0.3855,0.8924,0.8676,7.75,"Guerrero",4
"441",12075,47.2375481822991,0.28,41.228,0.2478,0.6559,0.7783,5.83,"Guerrero",72
"442",12076,1.29072228819247,0,67.107,0.6154,0.9603,0.9511,4.39,"Guerrero",10
"443",12077,44.8524773985563,1.02,67.716,0.1859,0.5971,0.7789,4.11,"Guerrero",22
"444",12078,2.06857320163417,0.77,34.131,0.8423,0.9944,0.9699,22.25,"Guerrero",2
"445",12079,2.79251605696733,0,137.777,0.594,0.9497,0.9385,7.82,"Guerrero",3
"446",12080,22.7158001009591,0,29.73,0.2059,0.6573,0.8211,6.05,"Guerrero",7
"447",12081,1.76725280551383,0,49.186,0.3867,0.8024,0.8821,3.46,"Guerrero",4
"448",13001,48.826800488268,0,127.464,0.049,0.3929,0.8774,7.36,"Hidalgo",14
"449",13002,24.008305575983,0,203.737,0.2851,0.8009,0.8882,7.18,"Hidalgo",25
"450",13003,64.4256332468888,2.04,217.787,0.0366,0.4802,0.7249,2.92,"Hidalgo",170
"451",13004,35.0334878928387,0,105.666,0.083,0.6,0.8758,3.5,"Hidalgo",11
"452",13005,71.4213861784529,0,97.935,0.0452,0.4807,0.656,3.9,"Hidalgo",27
"453",13006,25.3646163601776,0,40.971,0.0778,0.4856,0.8406,2.49,"Hidalgo",21
"454",13007,73.8484963837077,0,44.379,0.0384,0.5024,0.725,2.78,"Hidalgo",14
"455",13008,130.11075027063,1.17,134.566,0.0363,0.4136,0.6193,3.51,"Hidalgo",109
"456",13009,43.5665131937225,0,157.554,0.0489,0.4889,0.8032,4.15,"Hidalgo",4
"457",13010,102.401787376652,0.91,491.044,0.0136,0.2896,0.4826,3.18,"Hidalgo",65
"458",13011,21.2353429969532,0,233.632,0.1867,0.6516,0.8312,2.87,"Hidalgo",18
"459",13012,33.5946248600224,1.37,70.64,0.07,0.5242,0.8642,4.06,"Hidalgo",60
"460",13013,73.5885377324009,0,2028.247,0.0285,0.3286,0.4459,3.97,"Hidalgo",74
"461",13014,21.4132762312634,0,84.911,0.1318,0.6615,0.7912,2.31,"Hidalgo",21
"462",13015,34.2517503651841,0,42.004,0.0926,0.565,0.8149,1.97,"Hidalgo",4
"463",13016,30.6281169320569,0.44,162.16,0.0904,0.6732,0.8298,5.54,"Hidalgo",72
"464",13017,88.6827205129954,0,43.499,0.0838,0.4926,0.8303,4.76,"Hidalgo",14
"465",13018,10.9976433621367,0,95.828,0.0713,0.5137,0.8541,4.81,"Hidalgo",17
"466",13019,50.9216824523882,0,81.751,0.062,0.4885,0.8281,2.06,"Hidalgo",7
"467",13020,6.72947510094213,0,12.939,0.0405,0.5298,0.7723,4.94,"Hidalgo",2
"468",13021,156.932228057964,0,421.528,0.0261,0.3781,0.5016,4.1,"Hidalgo",34
"469",13022,84.0964305737245,0,93.217,0.0325,0.3682,0.6642,6.05,"Hidalgo",11
"470",13023,47.0691118598729,0,381.157,0.0423,0.4821,0.7316,2.52,"Hidalgo",84
"471",13024,29.8789117785815,0.73,57.577,0.0923,0.5113,0.8775,6.07,"Hidalgo",10
"472",13025,18.108912171776,0,71.831,0.1616,0.6423,0.7168,1.56,"Hidalgo",17
"473",13026,9.32773669131854,0,112.874,0.322,0.8615,0.8843,2.26,"Hidalgo",5
"474",13027,27.8255775637975,0,87.165,0.2548,0.7576,0.8597,4.21,"Hidalgo",9
"475",13028,48.6100670804608,0.84,335.577,0.1885,0.6535,0.7388,3.64,"Hidalgo",215
"476",13029,65.6732005141388,1.11,70.985,0.0361,0.4244,0.728,2.69,"Hidalgo",87
"477",13030,49.0299293126786,1.38,174.516,0.0625,0.5024,0.7893,2.74,"Hidalgo",213
"478",13031,8.28843762950684,0,35.428,0.0384,0.4368,0.7905,3.11,"Hidalgo",26
"479",13032,38.263314071529,0,215.635,0.1989,0.7521,0.7714,3.54,"Hidalgo",14
"480",13033,14.6541617819461,0,17.881,0.0435,0.5564,0.716,3.6,"Hidalgo",1
"481",13034,18.5257410296412,0,43.881,0.2042,0.7717,0.8325,2.44,"Hidalgo",3
"482",13035,31.9795330988168,0,67.867,0.0429,0.4282,0.8398,4.61,"Hidalgo",9
"483",13036,21.2910093873996,0,30.14,0.0825,0.5305,0.7872,4.4,"Hidalgo",6
"484",13037,17.1217446156619,0.58,25.73,0.0775,0.5189,0.8384,3.25,"Hidalgo",21
"485",13038,33.109156751164,0,75.11,0.0559,0.4284,0.782,3.04,"Hidalgo",3
"486",13039,104.848446336659,0,185.785,0.0709,0.4963,0.6522,3.62,"Hidalgo",25
"487",13040,13.7425561154375,0,54.58,0.0937,0.6195,0.8366,5.23,"Hidalgo",1
"488",13041,74.7030902645651,1.13,341.941,0.0256,0.3975,0.747,3.03,"Hidalgo",104
"489",13042,88.6723118709059,1.14,46.931,0.0737,0.5972,0.7659,3.93,"Hidalgo",24
"490",13043,6.76223965377333,0,15.933,0.0993,0.6764,0.8093,2.27,"Hidalgo",3
"491",13044,42.4897914137512,0,50.727,0.0486,0.4309,0.7967,4.15,"Hidalgo",11
"492",13045,46.4234959734723,0,84.118,0.0619,0.4475,0.7664,4.83,"Hidalgo",4
"493",13046,16.2878152770126,0.34,124.812,0.1711,0.6892,0.8289,2.75,"Hidalgo",45
"494",13047,11.2065745237206,0,11.065,0.0671,0.5388,0.8273,2.31,"Hidalgo",3
"495",13048,205.485316361768,3.29,1609.478,0.0231,0.2822,0.5189,2.83,"Hidalgo",1138
"496",13049,3.71766955228637,0,117.533,0.1468,0.6169,0.8817,5.91,"Hidalgo",13
"497",13050,74.8768472906404,1.62,223.028,0.027,0.3897,0.6991,3.62,"Hidalgo",70
"498",13051,139.209389641057,0.88,2191.881,0.0121,0.1873,0.4293,2.8,"Hidalgo",243
"499",13052,60.490045941807,0,109.676,0.0535,0.4341,0.7557,2.66,"Hidalgo",34
"500",13053,29.8775022408127,0,57.878,0.1539,0.6513,0.8322,4.84,"Hidalgo",13
"501",13054,47.9035611823231,0,183.613,0.0363,0.4288,0.7656,1.49,"Hidalgo",33
"502",13055,36.984662243011,0,57.985,0.0579,0.49,0.8211,1.49,"Hidalgo",7
"503",13056,56.8606913062996,0,440.056,0.0299,0.3915,0.6704,5.7,"Hidalgo",47
"504",13057,40.8586062036025,0,45.322,0.0528,0.4889,0.7943,7.47,"Hidalgo",20
"505",13058,15.9027659453626,0.74,104.437,0.0745,0.5163,0.8176,1.6,"Hidalgo",38
"506",13059,24.435394298408,0.36,66.035,0.0469,0.4422,0.8653,3.78,"Hidalgo",28
"507",13060,35.1216532627507,0,83.071,0.0896,0.6354,0.8444,4.37,"Hidalgo",12
"508",13061,154.654961208657,1.95,235.335,0.0245,0.3155,0.4613,3.47,"Hidalgo",155
"509",13062,3.04701544836832,0,73.218,0.2712,0.8158,0.9025,4.76,"Hidalgo",9
"510",13063,87.4523496812634,1.04,230.28,0.0342,0.3227,0.4458,5.64,"Hidalgo",119
"511",13064,47.4898236092266,0,60.2,0.0404,0.4204,0.7635,3.5,"Hidalgo",9
"512",13065,54.2567621479295,0,208.283,0.0477,0.5389,0.7238,3.8,"Hidalgo",22
"513",13066,48.3487057423386,1.07,97.545,0.0556,0.5261,0.8156,4.17,"Hidalgo",28
"514",13067,69.8208866200025,0.76,456.407,0.0527,0.5511,0.7448,3.4,"Hidalgo",90
"515",13068,14.3355771628023,0,50.725,0.2679,0.7922,0.8712,3.36,"Hidalgo",4
"516",13069,135.165676375169,1.1,1819.481,0.0347,0.3589,0.5044,3.88,"Hidalgo",226
"517",13070,70.3885835502844,0,609.169,0.0365,0.5015,0.7424,3.36,"Hidalgo",39
"518",13071,9.14662032379036,0,19.427,0.0839,0.7117,0.8299,4.58,"Hidalgo",3
